Sintoma1,Sintoma2,Doenca_Associada,Fonte
dor no peito,falta de ar,Infarto,Literatura Médica
dor no peito,sudorese,Infarto,Literatura Médica
dor no peito,náusea,Infarto,Literatura Médica
dor no peito,dor no braço esquerdo,Infarto,Literatura Médica
dor no peito,pressão no peito,Angina,Literatura Médica
pressão no peito,falta de ar,Angina,Literatura Médica
cansaço constante,inchaço nas pernas,Insuficiência Cardíaca,Literatura Médica
falta de ar,inchaço nos pés,Insuficiência Cardíaca,Literatura Médica
dispneia,fadiga,Insuficiência Cardíaca,Literatura Médica
palpitações,tontura,Arritmia,Literatura Médica
batimentos irregulares,falta de ar,Arritmia,Literatura Médica
taquicardia,palpitações,Arritmia,Literatura Médica
pressão no peito,tontura,Hipertensão,Literatura Médica
dor de cabeça,visão turva,Hipertensão,Literatura Médica
tontura,falta de ar,Hipertensão,Literatura Médica
dor no peito,tontura,Doença Coronariana,Literatura Médica
cansaço,falta de ar,Doença Coronariana,Literatura Médica
palpitações,pressão no peito,Fibrilação Atrial,Literatura Médica
batimentos acelerados,tontura,Taquicardia,Literatura Médica
fraqueza,tontura,Bradicardia,Literatura Médica
inchaço nas pernas,falta de ar,Insuficiência Cardíaca Congestiva,Literatura Médica
dor torácica,dispneia,Síndrome Coronariana Aguda,Literatura Médica
síncope,palpitações,Arritmia Ventricular,Literatura Médica
dor no peito,formigamento no braço,Infarto,Literatura Médica
fadiga extrema,inchaço,Cardiomiopatia,Literatura Médica
sensação de desmaio,formigamento no braço,Insuficiência Cardíaca,Sintético-CardioIA
dor no braço esquerdo,formigamento no braço,Angina,Sintético-CardioIA
visão turva,inchaço nos pés,Angina,Sintético-CardioIA
batimentos acelerados,dor nas costas,Insuficiência Cardíaca,Sintético-CardioIA
fraqueza,dor na mandíbula,Angina,Sintético-CardioIA
falta de ar,aperto no peito,Infarto,Sintético-CardioIA
dor nas costas,palpitações,Angina,Sintético-CardioIA
batimentos irregulares,palpitações,Arritmia,Sintético-CardioIA
batimentos irregulares,cansaço,Insuficiência Cardíaca,Sintético-CardioIA
dor torácica,batimentos irregulares,Angina,Sintético-CardioIA
dor nas costas,cansaço,Fibrilação Atrial,Sintético-CardioIA
batimentos irregulares,tontura,Doença Coronariana,Sintético-CardioIA
cansaço,dificuldade para respirar,Infarto,Sintético-CardioIA
dor no peito,formigamento no braço,Angina,Sintético-CardioIA
dispneia,dor no peito,Fibrilação Atrial,Sintético-CardioIA
dor torácica,inchaço nas pernas,Infarto,Sintético-CardioIA
aperto no peito,cansaço extremo,Infarto,Sintético-CardioIA
sensação de desmaio,inchaço nos pés,Insuficiência Cardíaca,Sintético-CardioIA
inchaço nas pernas,dificuldade para respirar,Doença Coronariana,Sintético-CardioIA
batimentos acelerados,dificuldade para respirar,Fibrilação Atrial,Sintético-CardioIA
dor no peito,sensação de desmaio,Cardiomiopatia,Sintético-CardioIA
dor no peito,batimentos acelerados,Doença Coronariana,Sintético-CardioIA
náusea,falta de ar,Arritmia,Sintético-CardioIA
dispneia,visão turva,Insuficiência Cardíaca,Sintético-CardioIA
mal-estar,visão turva,Cardiomiopatia,Sintético-CardioIA
