"frase","situacao","fonte"
"Não consigo deitar por causa da pressão no peito, só melhora sentado, desde 10 minutos.","alto risco","Sintético-CardioIA"
"Sinto dorzinha quando levanto rápido da cama, dura só alguns segundos.","baixo risco","Sintético-CardioIA"
"Sinto incômodo leve quando durmo mal, mas no dia seguinte passa.","baixo risco","Sintético-CardioIA"
"Tenho dor no peito que não para desde 2 minutos, junto com dor que irradia e falta de ar.","alto risco","Sintético-CardioIA"
"Já tive infarto antes e agora sinto dor no peito igual àquela vez, há 5 minutos.","alto risco","Sintético-CardioIA"
"Sinto cansaço leve que piora quando aperto o peito com a mão.","baixo risco","Sintético-CardioIA"
"Tenho dor no peito constante há 10 minutos e minha pressão está muito alta.","alto risco","Sintético-CardioIA"
"Minha pressão está 185x120 mmHg e estou sentindo aperto no peito muito forte.","alto risco","Sintético-CardioIA"
"Sinto o coração disparado e tontura intensa há 2 minutos, quase desmaiei agora.","alto risco","Sintético-CardioIA"
"Minha pressão subiu um pouco depois de um dia estressante, mas voltou ao normal.","baixo risco","Sintético-CardioIA"
"Tenho incômodo esporádica que dura poucos segundos e some sozinha.","baixo risco","Sintético-CardioIA"
"Sou atleta e meu coração bate mais devagar que o normal, o médico disse que é normal.","baixo risco","Sintético-CardioIA"
"Tenho dor no peito e dor que irradia ao mesmo tempo há 10 minutos, está piorando muito.","alto risco","Sintético-CardioIA"
"Estou com dor que irradia muito forte que irradia para o ombro esquerdo, começou há 5 minutos.","alto risco","Sintético-CardioIA"
"Estou com pressão no peito que vai para o costas e suando muito frio.","alto risco","Sintético-CardioIA"
"Tenho fadiga ocasional que não me impede de fazer nada.","baixo risco","Sintético-CardioIA"
"Tenho um leve inchaço nos tornozelos no fim do dia, some quando elevo as pernas.","baixo risco","Sintético-CardioIA"
"Já tive infarto antes e agora sinto dor que irradia igual àquela vez, há 2 minutos.","alto risco","Sintético-CardioIA"
"Tenho desconforto leve ocasional que não me impede de fazer nada.","baixo risco","Sintético-CardioIA"
"Não consigo respirar direito, tenho aperto no peito e dor que irradia há 2 minutos.","alto risco","Sintético-CardioIA"
"Sinto um tontura passageira leve depois de fazer exercício, mas passa rápido.","baixo risco","Sintético-CardioIA"
"Estou com aperto no peito fortíssima, dor no peito e não consigo me mover de tanta dor.","alto risco","Sintético-CardioIA"
"Minha pressão subiu um pouco depois de um dia estressante, mas voltou ao normal.","baixo risco","Sintético-CardioIA"
"Sinto dorzinha leve depois de academia, passa em menos de dez minutos.","baixo risco","Sintético-CardioIA"
